"All Data collected by Salmon, McMullen, & Filliter (2009)",,,,,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2
,,,,,T1 (FMA),T1 (FMA),T1 (FMA),T2 (AFM),T2 (AFM),T2 (AFM),T3 (MAF),T3 (MAF),T3 (MAF),All T,All T,All T,T1 (AFM),T1 (AFM),T1 (AFM),T2 (MAF),T2 (MAF),T2 (MAF),T3 (FMA),T3 (FMA),T3 (FMA),All T,All T,All T,T1 (MAF),T1 (MAF),T1 (MAF),T2 (FMA),T2 (FMA),T2 (FMA),T3 (AFM),T3 (AFM),T3 (AFM),All T,All T,All T,T1 (MAF),T1 (MAF),T1 (MAF),T2 (FMA),T2 (FMA),T2 (FMA),T3 (AFM),T3 (AFM),T3 (AFM),All T,All T,All T
Item#,Name,Category,Group Membership1,Expected Group2,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev
31,BINDER,school supply,HOM,HOM,18,4.78,0.55,18,4.5,0.79,19,4.68,0.67,55,4.65,0.67,18,3.5,1.42,19,3.37,0.9,20,3.6,1.19,57,3.49,1.17,19,4.32,0.67,20,4.65,0.59,18,4.67,0.59,57,4.54,0.63,19,3.21,1.13,20,3.05,1,18,2.72,0.89,57,3,1.02
32,Blender,household item,HOM,HON,18,3.44,1.46,18,2.11,1.08,18,2.44,1.42,54,2.67,1.43,18,3.44,1.25,19,3.79,0.71,20,3.75,1.25,57,3.67,1.09,19,3.63,1.16,20,3.25,1.41,18,4.06,0.73,57,3.63,1.17,16,3.69,1.25,14,3.79,1.37,17,3.53,1.07,47,3.66,1.2
33,blocks,toy,LYM,LYM,18,1.39,0.61,18,1.22,0.55,19,1.26,0.73,55,1.29,0.63,18,1.72,0.67,19,1.16,0.37,20,1.6,0.82,57,1.49,0.68,19,4.79,0.54,20,4.6,1.05,18,4.5,1.04,57,4.63,0.9,19,3.05,1.43,19,1.95,1.18,17,2.71,1.31,55,2.56,1.37
34,Book,household item,HYM,HYM,18,4.83,0.51,18,4.61,1.04,19,4.95,0.23,55,4.8,0.68,18,2,1.28,19,1.95,1.13,20,1.85,0.59,57,1.93,1.02,19,4.47,0.61,20,4.7,0.57,18,4.72,0.57,57,4.63,0.59,19,3.11,1.05,20,3.15,1.31,18,2.56,0.98,57,2.95,1.14
35,boots,clothing,HYM,HYM,18,3.5,1.47,18,3.56,1.25,19,3.63,1.3,55,3.56,1.32,17,2.35,0.93,19,2.26,0.87,20,1.75,0.64,56,2.11,0.85,19,4.42,0.61,20,4.55,0.69,18,4.22,0.94,57,4.4,0.75,19,3.11,1.37,20,2.95,1.39,17,3.18,1.24,56,3.07,1.32
36,bottle,household item,HOM,HYM,18,3.94,1.21,18,3.39,1.54,19,3.68,1.29,55,3.67,1.35,18,2.78,1.4,19,3.63,1.3,20,3.9,1.86,57,3.46,1.59,19,4.68,0.67,20,4.5,0.95,18,4.67,0.59,57,4.61,0.75,19,1.95,1.27,18,2.11,1.28,18,1.72,0.96,55,1.93,1.17
37,Bow,clothing,LYM,LYM,18,2.28,1.23,18,2.06,1.16,19,2.16,1.12,55,2.16,1.15,17,2.35,0.86,19,2.32,0.95,20,2.55,1,56,2.41,0.93,19,4.74,0.45,20,4.7,0.73,18,4.89,0.32,57,4.77,0.54,19,3,1.49,19,3.16,1.38,18,3.28,1.18,56,3.14,1.34
38,Bowl,household item,HYM,HYM,18,4.28,1.13,18,4.5,0.71,19,4.68,0.58,55,4.49,0.84,18,1.83,0.79,19,1.74,0.73,20,1.95,0.94,57,1.84,0.82,19,4.63,0.68,20,4.75,0.55,18,4.67,0.59,57,4.68,0.6,19,2.16,1.01,20,2.05,1.28,18,2.39,1.33,57,2.19,1.2
39,box,household item,HYM,LYM,18,3.78,1.26,18,3.17,1.54,19,3.05,1.31,55,3.33,1.39,18,1.72,0.83,19,2,0.82,20,1.9,0.64,57,1.88,0.76,19,4.53,0.61,20,4.7,0.66,18,4.5,0.71,57,4.58,0.65,19,3,0.88,20,3.3,1.17,18,2.78,1.06,57,3.04,1.05
40,Bread,food,HYM,HYM,18,4.5,0.71,18,4.67,0.59,19,4.26,1.24,55,4.47,0.9,17,2.35,1.27,19,2.11,0.81,20,2,0.79,56,2.14,0.96,19,4.47,0.96,20,4.7,0.57,18,4.89,0.32,57,4.68,0.69,18,2.72,1.36,20,2.4,1.05,18,2.33,0.91,56,2.48,1.11
41,BRIDGE,miscellaneous,HYN,HON,18,3.61,1.38,18,2.89,1.23,19,3,1.33,55,3.16,1.33,18,2.56,1.04,19,2.89,1.29,20,2.65,0.88,57,2.7,1.07,19,1.16,0.69,20,1.25,0.91,18,1,0,57,1.14,0.67,1,,,1,,,0,,,2,,
42,Broom,household item,HOM,HOM,18,3.44,1.25,18,3,1.28,19,2.95,1.22,55,3.13,1.25,18,2.94,1.55,19,2.58,0.84,20,2.8,0.95,57,2.77,1.13,19,4.68,0.58,20,4.6,0.68,18,4.67,0.49,57,4.65,0.58,19,3.32,1.16,20,2.75,1.16,18,2.39,0.92,57,2.82,1.14
43,brush,household item,HYM,HYM,18,3.89,1.75,18,4.56,0.86,19,4.53,0.9,55,4.33,1.25,18,2.17,0.79,19,2.32,0.75,20,2.05,0.69,57,2.18,0.73,19,4.95,0.23,20,4.9,0.45,18,5,0,57,4.95,0.29,19,3.16,1.17,20,2,1.08,18,1.56,0.78,57,2.25,1.21
44,Bus,vehicle,HYN,HYN,18,3.89,1.32,18,4.39,0.78,19,4.53,0.61,55,4.27,0.97,18,2.44,1.15,19,2.21,0.79,20,2.75,1.21,57,2.47,1.07,19,1.05,0.23,19,1.21,0.92,18,1,0,56,1.09,0.55,1,,,1,,,0,,,2,,
45,Butterfly,animal/insect,LYN,LYN,18,2.5,1.34,18,1.67,0.91,19,1.84,0.76,55,2,1.07,18,2,0.77,19,2.05,0.85,20,2.15,0.88,57,2.07,0.82,19,2.74,1.59,20,3.1,1.74,18,3.78,1.35,57,3.19,1.61,11,,,11,1.82,1.25,14,2.21,1.37,36,1.94,1.17
46,cake,food,HYM,HYM,18,3.17,0.86,18,3,1.14,19,2.95,1.03,55,3.04,1,18,1.83,0.38,19,1.95,0.97,20,1.75,0.72,57,1.84,0.73,19,4.26,1.05,20,4.15,1.14,18,4.5,0.62,57,4.3,0.96,18,2.72,1.53,18,2.28,1.45,18,2.28,1.23,54,2.43,1.4
