"All Data collected by Salmon, McMullen, & Filliter (2009)",,,,,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2
,,,,,T1 (FMA),T1 (FMA),T1 (FMA),T2 (AFM),T2 (AFM),T2 (AFM),T3 (MAF),T3 (MAF),T3 (MAF),All T,All T,All T,T1 (AFM),T1 (AFM),T1 (AFM),T2 (MAF),T2 (MAF),T2 (MAF),T3 (FMA),T3 (FMA),T3 (FMA),All T,All T,All T,T1 (MAF),T1 (MAF),T1 (MAF),T2 (FMA),T2 (FMA),T2 (FMA),T3 (AFM),T3 (AFM),T3 (AFM),All T,All T,All T,T1 (MAF),T1 (MAF),T1 (MAF),T2 (FMA),T2 (FMA),T2 (FMA),T3 (AFM),T3 (AFM),T3 (AFM),All T,All T,All T
Item#,Name,Category,Group Membership1,Expected Group2,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev
137,grapes,fruit & vegetable,HYM,HOM,18,3.67,1.14,18,3.61,1.09,19,3.47,1.12,55,3.58,1.1,18,2,0.59,19,2.16,0.6,20,1.85,0.59,57,2,0.6,19,4.89,0.32,20,4.95,0.22,18,4.94,0.24,57,4.93,0.26,19,1.63,1.26,20,1.85,1.39,18,1.28,0.46,57,1.6,1.13
138,Grass,nature,HYN,HYN,18,4,0.91,18,3.78,1.31,19,4.47,0.7,55,4.09,1.02,18,1.89,0.83,19,1.63,0.68,20,1.95,1,57,1.82,0.85,18,2.56,1.69,20,2.9,1.59,18,2.94,1.35,56,2.8,1.53,8,,,13,,,10,,,31,,
139,Guitar,instrument,HOM,HOM,18,3.56,1.5,17,2.94,1.52,19,2.68,1.29,54,3.06,1.46,18,2.89,0.9,19,3.16,1.07,20,3.15,1.04,57,3.07,1,19,4,0.94,20,3.6,1.39,18,4.39,0.7,57,3.98,1.09,17,4.41,0.87,16,4.13,1.45,18,4.28,1.07,51,4.27,1.13
140,Gun,tools,LOM,LOM,18,1.67,0.97,18,1.78,1.31,19,1.42,0.9,55,1.62,1.06,18,3.22,1.26,19,3.68,1,20,3.75,1.29,57,3.56,1.2,19,4.95,0.23,20,4.65,0.81,17,4.88,0.49,56,4.82,0.58,19,2.58,1.35,19,2.74,1.37,17,2.47,1.23,55,2.6,1.3
141,hairDryer,household item,HOM,HOM,18,3.61,1.61,17,3.47,1.66,19,4.11,1.24,54,3.74,1.51,18,3.17,1.1,19,3.74,1.19,20,3.45,1.43,57,3.46,1.25,19,4.79,0.42,20,4.7,0.57,18,4.89,0.32,57,4.79,0.45,19,2.84,1.21,20,2.2,1.06,18,2.28,1.23,57,2.44,1.18
142,Halifax Aerial,halifax location,LON,HON,18,2.72,1.71,18,2.17,1.25,19,2.32,1.16,55,2.4,1.38,17,4.82,1.74,19,4.63,1.46,20,5.3,1.69,56,4.93,1.63,19,1,0,20,1.2,0.89,18,1.28,0.96,57,1.16,0.75,0,,,0,,,1,,,1,,
143,Hammer,tools,LOM,HOM,18,2.67,1.14,18,1.72,0.75,19,1.95,1.18,55,2.11,1.1,18,2.94,1.06,19,2.79,0.98,19,3.11,0.99,56,2.95,1,19,4.89,0.32,20,4.85,0.37,18,4.78,0.43,57,4.84,0.37,19,3.26,1.33,20,2.4,1.5,18,2.22,0.88,57,2.63,1.33
144,harmonica,instrument,LOM,LOM,18,1.89,1.18,18,1.39,0.7,19,1.32,0.58,55,1.53,0.88,18,3.56,1.25,19,3.42,1.02,20,3.7,1.56,57,3.56,1.28,19,4.95,0.23,20,4.95,0.22,18,4.39,1.2,57,4.77,0.73,19,3.47,1.26,20,3.75,1.37,16,3,1.32,55,3.44,1.33
145,Harp,instrument,LON,LOM,18,1.56,0.98,17,1.18,0.53,19,1,0,54,1.24,0.67,18,3.67,1.5,19,4.21,0.92,20,4.7,1.22,57,4.21,1.28,19,2.74,1.41,20,3.05,1.39,18,2.17,1.15,57,2.67,1.35,11,,,13,3.62,1.33,7,,,31,,
146,Hat,clothing,HYM,HYM,18,3.61,1.33,18,2.67,1.5,19,3,1.6,55,3.09,1.51,18,2.28,1.27,19,1.68,0.75,20,1.9,0.91,57,1.95,1.01,19,4.53,1.07,20,4.9,0.31,18,4.94,0.24,57,4.79,0.67,18,1.78,1.06,20,2.2,1.4,18,2.06,1.11,56,2.02,1.2
147,Helicopter,vehicle,LON,LON,18,1.89,0.83,18,1.61,0.61,19,1.68,1.16,55,1.73,0.89,18,3.11,1.02,19,2.84,0.69,20,3.65,1.39,57,3.21,1.11,19,1.32,1,20,1.2,0.7,18,1.06,0.24,57,1.19,0.72,2,,,2,,,0,,,4,,
148,high Chair,baby stuff,LYN,LYN,18,1.83,1.15,18,1.22,0.55,19,1.16,0.37,55,1.4,0.81,18,1.78,0.73,19,2,1.15,20,1.95,1.43,57,1.91,1.14,19,2,1,19,2.16,1.17,18,2.56,1.04,56,2.23,1.08,6,,,8,,,8,,,22,,
149,Hole Punch,office supply,HOM,HOM,18,3.33,1.46,18,3.44,1.25,19,3.37,1.38,55,3.38,1.34,18,4.33,0.91,19,3.84,0.9,20,4.25,1.16,57,4.14,1.01,19,4.79,0.42,20,4.65,0.67,18,4.67,0.49,57,4.7,0.53,18,3.22,1.22,20,3.35,1.14,18,3.06,1.16,56,3.21,1.16
150,Horse,animal/insect,LYN,LYN,18,1.83,0.71,18,1.61,0.92,19,1.42,0.84,55,1.62,0.83,18,2.44,1.62,19,1.95,0.78,20,2,0.79,57,2.12,1.12,19,1.11,0.32,20,1.15,0.49,18,1,0,57,1.09,0.34,0,,,1,,,0,,,1,,
151,House,building,HYN,HYN,18,4.56,1.04,18,4.44,0.92,19,4.74,0.56,55,4.58,0.85,17,2,0.87,19,1.89,0.88,20,1.7,0.86,56,1.86,0.86,19,1,0,20,1.55,1.36,18,1,0,57,1.19,0.83,0,,,3,,,0,,,3,,
152,ice Scraper,household item,HOM,LOM,18,3.28,1.74,17,3.53,1.5,19,2.63,1.34,54,3.13,1.55,18,3.28,1.45,19,4,1.45,20,3.9,1.71,57,3.74,1.55,19,4.74,0.45,20,4.85,0.37,18,4.89,0.32,57,4.82,0.38,19,3.37,1.12,20,2.5,1.24,18,2.72,1.18,57,2.86,1.22
153,Iron,household item,HOM,HOM,18,3,1.24,18,2.67,1.46,19,2.47,0.96,55,2.71,1.23,18,3.39,1.42,19,3.47,1.07,20,3.95,1.39,57,3.61,1.31,19,4.89,0.32,20,4.3,1.03,16,4.63,0.62,55,4.6,0.76,19,2.74,1.37,19,2.21,1.32,16,2.06,1.06,54,2.35,1.28
154,Ironing Board,household item,HON,HON,18,2.83,1.42,18,2.39,1.14,19,2.42,1.22,55,2.55,1.26,18,3.17,1.25,19,3.63,1.21,20,3.7,1.08,57,3.51,1.18,19,3.47,0.96,20,2.8,1.32,18,3.44,0.78,57,3.23,1.09,15,3.4,1.24,14,,,18,3.11,1.23,47,3.21,1.28
155,Jacket,clothing,HYM,HOM,18,4.56,0.86,18,4.78,0.43,19,4.68,0.48,55,4.67,0.61,18,2.44,0.78,19,2,0.88,20,1.8,0.77,57,2.07,0.84,19,4.37,0.68,20,4.2,1.11,17,4.65,0.7,56,4.39,0.87,19,3.16,1.26,19,3.21,1.27,17,3.59,1.12,55,3.31,1.22
156,jack-o-lantern,holiday,LYM,LYM,18,2.28,1.32,18,1.44,0.78,19,1.42,0.61,55,1.71,1.01,18,2.61,0.7,19,2.32,0.58,20,2.25,0.85,57,2.39,0.73,19,3.74,0.99,20,3.95,1.32,18,3.83,0.79,57,3.84,1.05,15,3.13,1.46,17,3,1.5,18,2.56,1.25,50,2.88,1.39
157,jelly Beans,food,HYM,LYM,18,2.78,1.35,18,2.5,1.38,19,2.58,1.07,55,2.62,1.25,18,2.39,0.85,19,2.26,0.81,20,2.3,0.86,57,2.32,0.83,19,4.84,0.5,20,4.65,0.93,18,5,0,57,4.82,0.63,19,1.32,0.95,18,1.56,1.29,18,1.06,0.24,55,1.31,0.94
158,Kangaroo,animal/insect,LON,LON,18,1.44,0.92,18,1.22,0.43,19,1,0,55,1.22,0.6,18,2.78,1,19,2.89,0.74,20,3.15,1.42,57,2.95,1.09,19,1.16,0.37,20,1.15,0.37,18,1.11,0.32,57,1.14,0.35,0,,,1,,,1,,,2,,
159,Kettle,household item,HOM,HOM,18,4.33,1.03,18,3.22,1.35,19,3.74,1.45,55,3.76,1.35,18,2.89,1.28,19,3.32,0.95,20,3.3,1.03,57,3.18,1.09,19,4.53,0.51,20,4.5,0.69,18,4.56,0.7,57,4.53,0.63,19,2.42,1.17,20,2.45,1.5,18,2.5,1.29,57,2.46,1.31
160,Key,household item,HOM,HYM,18,4.67,0.97,18,4.61,0.98,19,4.74,0.93,55,4.67,0.94,18,2.78,1.22,19,2.74,0.87,20,2.6,0.94,57,2.7,1,19,4.95,0.23,20,4.8,0.89,18,5,0,57,4.91,0.54,19,3.47,1.5,19,2.89,1.49,18,2.89,1.02,56,3.09,1.37
161,kite,toy ,LYM,LOM,18,1.67,0.69,18,1.5,0.71,19,1.21,0.42,55,1.45,0.63,18,2.17,0.79,19,2.32,0.58,20,2.15,0.93,57,2.21,0.77,19,3.89,1.1,19,4.26,1.1,18,4.39,0.78,56,4.18,1.01,16,3.63,1.41,17,3.47,1.23,18,3.44,1.15,51,3.51,1.24
162,Knife,tools,HYM,HYM,18,4.44,1.04,18,3.61,1.42,19,4.11,1.24,55,4.05,1.27,18,2.56,0.62,19,2.58,1.07,20,2.3,0.98,57,2.47,0.91,19,5,0,20,4.7,0.8,18,4.89,0.32,57,4.86,0.52,19,2.95,1.03,19,2.53,1.26,18,2.22,0.81,56,2.57,1.08
163,Ladder,tools,LON,HON,18,2.22,0.94,18,1.61,0.78,19,1.47,0.7,55,1.76,0.86,18,2.67,0.77,19,2.58,0.77,20,3.15,1.14,57,2.81,0.93,19,2.63,1.3,20,2.9,1.29,18,2.33,0.97,57,2.63,1.2,11,,,13,,,9,,,33,,
164,Lamp,household item,HYM,HOM,18,4.56,0.98,18,4,1.33,19,4.58,0.9,55,4.38,1.1,18,2.22,0.81,19,2.47,0.9,20,2,0.79,57,2.23,0.85,19,3.74,1.1,19,3.26,1.37,18,3.89,0.9,56,3.63,1.15,16,3.19,1.22,13,2.77,1.36,17,2.82,1.24,46,2.93,1.25
165,Lawn Mower,household item,LON,LON,18,2.11,1.18,18,1.56,0.7,19,1.53,0.7,55,1.73,0.91,18,3,0.91,19,3.16,0.9,20,3.2,1.51,57,3.12,1.13,19,2.26,1.33,20,2.15,1.27,18,2.28,0.96,57,2.23,1.18,8,,,7,,,7,,,22,,
166,Leaf,nature,HYM,HYN,18,3.78,1.26,18,3.39,1.04,19,3.74,1.19,55,3.64,1.16,18,2.44,0.98,19,2.05,0.91,20,2.3,0.98,57,2.26,0.95,19,4.53,1.07,20,4.7,0.8,18,4.94,0.24,57,4.72,0.8,18,2.11,1.18,18,1.72,1.23,18,1.83,0.99,54,1.89,1.13
167,lego,toy,LYM,LYM,18,1.61,0.85,18,1.61,1.04,17,1.29,0.47,53,1.51,0.82,17,2,0.79,19,1.68,0.82,20,1.8,0.89,56,1.82,0.83,19,4.79,0.42,20,4.8,0.52,18,4.94,0.24,57,4.84,0.41,19,3.74,1.19,20,2.95,1.28,18,2.67,1.33,57,3.12,1.32
168,Lemon,fruit & vegetable,HOM,LOM,18,3.61,1.04,18,2.89,1.18,19,2.95,1.13,55,3.15,1.15,17,2.76,1.03,19,2.47,0.77,20,2.75,0.79,56,2.66,0.86,19,4.89,0.32,19,4.84,0.5,18,4.78,0.43,56,4.84,0.42,19,2.37,1.26,19,1.89,1.1,18,2.17,1.15,56,2.14,1.17
169,Leopard,animal/insect,LON,LON,18,1.44,0.78,18,1.28,0.67,19,1.05,0.23,55,1.25,0.62,18,2.94,1.35,19,3.21,0.98,20,3.15,1.35,57,3.11,1.22,19,1.05,0.23,20,1.3,0.92,18,1.28,0.57,57,1.21,0.65,0,,,1,,,1,,,2,,
170,Lettuce,fruit & vegetable,HOM,HOM,18,4.28,0.96,18,3.72,1.18,19,4.11,0.99,55,4.04,1.05,18,2.78,0.88,19,2.47,0.61,20,3,1.26,57,2.75,0.97,19,4.68,0.58,20,4.65,0.67,18,4.78,0.43,57,4.7,0.57,19,3.16,1.21,20,2.4,1.14,18,2.67,0.97,57,2.74,1.14
171,lightBulb,household item,HOM,HOM,18,4.44,0.98,18,4.17,1.04,19,4.26,1.05,55,4.29,1.01,18,2.72,0.96,19,2.84,0.96,20,2.95,1.1,57,2.84,1,19,4.68,0.67,20,4.75,0.55,18,4.72,0.46,57,4.72,0.56,19,3.37,1.12,19,2.79,1.58,18,3.17,1.1,56,3.11,1.29
172,Lion,animal/insect,LYN,LYN,18,1.56,1.04,18,1.33,0.69,19,1,0,55,1.29,0.74,18,1.89,0.76,19,2.42,0.77,20,2.3,1.08,57,2.21,0.9,19,1.11,0.46,20,1.05,0.22,18,1,0,57,1.05,0.29,1,,,0,,,0,,,1,,
173,Lobster,animal/insect,LON,LON,18,2.61,1.2,18,1.44,0.62,19,1.74,0.87,55,1.93,1.03,18,2.89,1.41,19,2.95,0.78,20,3.75,1.71,57,3.21,1.4,18,3.56,1.15,20,3.2,1.36,18,3.94,0.94,56,3.55,1.19,17,2.47,1.37,14,3.21,1.42,15,3.27,1.16,46,2.96,1.35
174,lock,household item,LOM,HOM,18,2.67,1.37,18,2.72,1.49,19,2.58,1.02,55,2.65,1.28,18,3.67,1.24,19,3.79,1.27,20,4.3,1.42,57,3.93,1.32,19,4.84,0.37,20,4.9,0.31,18,4.83,0.38,57,4.86,0.35,19,3.89,1.33,20,3.85,1.09,18,3.94,0.94,57,3.89,1.11
175,LSC,campus location,HON,HON,18,4.67,0.69,18,4.11,1.18,19,4.53,0.7,55,4.44,0.9,17,3.82,1.88,19,4.84,2.03,20,5.2,2.28,56,4.66,2.13,19,1,0,20,1.2,0.89,18,1,0,57,1.07,0.53,0,,,1,,,0,,,1,,
176,Manhole Cover,miscellaneous,HON,HON,18,3.5,1.34,18,2.61,1.33,19,3.26,1.45,55,3.13,1.4,18,4.06,1.39,19,3.95,1.03,20,4,1.21,57,4,1.2,19,1.26,0.45,20,1.25,0.55,18,1.39,0.61,57,1.3,0.53,0,,,2,,,0,,,2,,
177,MARACAS,instrument,LOM,LOM,18,1.5,0.86,17,1.12,0.33,19,1.05,0.23,54,1.22,0.57,18,3.67,0.97,18,3.61,1.2,19,3.95,1.39,55,3.75,1.19,19,4.68,0.48,19,4.74,0.65,18,4.89,0.32,56,4.77,0.5,19,2.89,1.29,20,2.3,1.42,18,2.06,0.8,57,2.42,1.24
178,Marker,office supply,HOM,HYM,18,3.78,0.94,18,3.94,1.26,19,4.16,0.9,55,3.96,1.04,18,2.94,1.16,19,2.05,0.85,20,2.05,0.83,57,2.33,1.02,19,4.95,0.23,20,4.8,0.52,18,5,0,57,4.91,0.34,19,3.58,1.17,20,2.55,1.39,18,3,1.19,57,3.04,1.31
179,Milk,food,HYM,HYM,18,4.78,0.65,18,4.17,1.1,19,4.68,0.48,55,4.55,0.81,18,2.17,1.04,19,1.68,0.89,20,1.55,0.69,57,1.79,0.9,18,4.67,0.59,20,4.5,1,18,4.67,0.59,56,4.61,0.76,18,2.39,1.33,19,1.89,1.33,18,1.72,0.89,55,2,1.22
180,mitten,clothing,HYM,HYM,18,3.72,0.96,18,3.61,1.29,19,3.58,1.3,55,3.64,1.18,18,1.89,0.83,19,2.05,0.78,20,2.15,1.31,57,2.04,1,19,4.95,0.23,20,4.75,0.72,18,4.94,0.24,57,4.88,0.47,19,2.84,1.26,19,2.63,1.16,18,2.06,1.06,56,2.52,1.19
181,MIXER,household item,HON,LON,18,2.83,1.25,18,2,0.97,18,1.78,1.11,54,2.2,1.19,18,3.39,0.7,19,3.74,1.28,20,3.9,1.37,57,3.68,1.17,19,3.11,1.1,20,3,1.26,18,3.39,0.98,57,3.16,1.11,13,3.31,1.18,14,3.21,1.53,15,3.6,0.83,42,3.38,1.19
182,monkey,animal/insect,LYN,LYN,18,1.5,0.71,18,1.56,1.04,19,1.21,0.42,55,1.42,0.76,18,2.17,1.1,19,2.37,0.76,20,2.5,1.1,57,2.35,0.99,19,1.84,1.07,20,2.05,1.32,18,2.11,1.28,57,2,1.21,4,,,5,,,6,,,15,,
183,Monument,miscellaneous,LON,HON,18,2.72,1.23,18,2.22,1.52,19,2.05,1.31,55,2.33,1.36,18,4.39,1.61,19,4.79,1.23,20,5.35,1.6,57,4.86,1.52,19,1,0,20,1.05,0.22,18,1,0,57,1.02,0.13,0,,,0,,,0,,,0,,
184,moon,nature,HYN,HYN,18,4.56,0.86,18,4.39,0.61,19,4.53,0.77,55,4.49,0.74,18,1.89,1.13,19,2.26,1.15,20,2.15,0.67,57,2.11,0.99,19,1,0,20,1,0,18,1,0,57,1,0,1,,,0,,,0,,,1,,
185,Motorcycle,vehicle,LON,HON,18,2.5,0.99,18,1.72,0.89,19,2.53,1.22,55,2.25,1.09,18,2.67,0.91,19,3.53,1.35,20,3.8,1.2,57,3.35,1.25,19,1.37,0.96,20,1.4,0.82,18,1,0,57,1.26,0.74,2,,,2,,,0,,,4,,
186,mountain,nature,LON,LON,18,2.44,1.34,18,1.94,0.94,19,1.89,1.24,55,2.09,1.19,18,2.94,1.06,19,3.26,0.93,20,3.35,1.53,57,3.19,1.2,19,1,0,20,1.3,0.98,18,1,0,57,1.11,0.59,0,,,2,,,0,,,2,,
187,Mouse,animal/insect,LYN,LYN,18,1.72,0.89,18,1.83,0.86,19,1.53,0.77,55,1.69,0.84,18,2.22,0.73,19,2.11,0.74,20,2.25,0.97,57,2.19,0.81,19,3.42,1.26,20,3.75,1.37,18,3.94,1.16,57,3.7,1.27,14,1.71,0.99,15,2.33,1.54,16,2.44,1.31,45,2.18,1.32
188,Movie Theatre,miscellaneous,HON,HON,18,4.22,1.31,18,3.72,1.53,19,4.21,1.27,55,4.05,1.37,17,4.24,1.68,19,4.68,1.29,20,4.95,1.76,56,4.64,1.59,19,1,0,20,1.05,0.22,18,1,0,57,1.02,0.13,0,,,0,,,0,,,0,,
189,Mr Potato Head,toy,LYM,LYM,18,1.78,1.26,18,1.28,0.83,19,1,0,55,1.35,0.91,18,2.61,0.85,19,1.68,0.58,20,2.25,1.25,57,2.18,1,19,4.68,0.48,20,4.8,0.52,18,4.67,0.59,57,4.72,0.53,19,4.53,0.61,20,3.55,1.36,18,3.72,1.13,57,3.93,1.15
190,Mushroom,food,HOM,LOM,18,3.56,1.54,18,2.67,0.97,19,3.42,1.22,55,3.22,1.3,18,2.72,1.02,19,2.58,0.77,20,2.9,1.33,57,2.74,1.06,19,4.84,0.5,20,4.55,1.05,18,4.89,0.32,57,4.75,0.71,18,1.89,1.13,19,1.74,0.93,18,1.61,0.85,55,1.75,0.97
191,Nails,tools,HOM,LYM,18,2.78,1.31,18,1.83,0.92,19,1.63,0.9,55,2.07,1.15,18,2.94,1.11,19,2.89,0.88,19,3.37,1.12,56,3.07,1.04,19,4.89,0.32,20,4.9,0.31,18,4.83,0.51,57,4.88,0.38,19,3.53,1.07,20,3.4,1.27,18,3.17,1.29,57,3.37,1.2
192,Necklace,clothing,HYM,LOM,18,3.22,1.52,18,3.94,1.21,19,4.26,1.1,55,3.82,1.33,18,2.44,1.1,19,2.47,1.12,20,2.65,0.75,57,2.53,0.98,19,4.79,0.54,20,4.7,0.73,18,4.56,0.98,57,4.68,0.76,19,2.74,1.19,19,2.68,1.38,17,2.94,1.14,55,2.78,1.23
193,Onion,fruit & vegetable,HYM,LOM,18,4.28,0.96,18,3.28,0.83,19,3.47,1.02,55,3.67,1.02,18,2.11,0.68,19,2.89,0.66,20,2.9,0.97,57,2.65,0.86,19,4.89,0.32,20,4.8,0.52,18,4.94,0.24,57,4.88,0.38,19,2.68,1.16,20,2.1,1.25,18,2.17,1.04,57,2.32,1.17
194,Orange,fruit & vegetable,HYM,LYM,18,4.39,0.78,18,4.06,0.87,19,4.11,1.37,55,4.18,1.04,18,1.78,0.73,19,1.84,0.76,20,1.95,0.76,57,1.86,0.74,17,4.88,0.49,20,5,0,18,4.94,0.24,55,4.95,0.3,18,3,1.33,20,2.05,1.43,18,1.89,1.08,56,2.3,1.36
195,ornament,holiday,LOM,LYM,18,1.94,1.11,18,1.5,1.1,19,1.68,1.11,55,1.71,1.1,18,2.78,1.26,19,2.84,0.9,20,2.7,1.49,57,2.77,1.23,19,4.74,0.45,20,4.75,0.55,18,4.72,0.67,57,4.74,0.55,19,2.21,1.18,20,2.15,1.31,18,2.28,1.07,57,2.21,1.18
196,Ostrich,animal/insect,LON,LON,18,1.28,0.57,18,1.11,0.32,19,1,0,55,1.13,0.39,18,3.39,1.38,19,3.26,0.93,20,3.85,1.09,57,3.51,1.15,19,1.26,0.45,20,1.05,0.22,18,1.06,0.24,57,1.12,0.33,1,,,1,,,1,,,3,,
197,Owl,animal/insect,LYN,LON,18,1.5,0.62,18,1.61,0.78,19,1.37,0.68,55,1.49,0.69,17,2.53,0.87,19,2.53,0.7,20,2.6,1.05,56,2.55,0.87,19,2.11,1.1,20,2.05,1.19,18,2.72,1.27,57,2.28,1.21,5,,,9,,,9,,,23,,
198,pacifier,baby stuff,LYM,LYM,18,1.39,0.85,18,1,0,19,1.05,0.23,55,1.15,0.52,18,2.11,1.45,19,1.53,0.77,20,1.85,1.57,57,1.82,1.31,19,4.95,0.23,20,4.75,0.72,18,4.94,0.24,57,4.88,0.47,19,2.95,1.65,19,2.47,1.39,18,1.94,0.94,56,2.46,1.4
199,Paintbrush,tools,LYM,LYM,18,2.17,1.25,18,2.11,1.37,19,1.74,0.81,55,2,1.15,18,2.5,0.99,19,2.47,0.84,20,3.1,1.17,57,2.7,1.03,19,4.89,0.46,20,4.8,0.52,18,4.83,0.38,57,4.84,0.45,19,2.79,1.36,20,2.4,1.39,18,2.39,1.09,57,2.53,1.28
200,pants,clothing,HYM,HYM,18,4.89,0.47,18,4.78,0.43,19,5,0,55,4.89,0.37,18,2.39,0.98,19,2.16,0.69,20,2.25,1.12,57,2.26,0.94,19,4.53,0.84,20,4.6,0.6,18,4.5,0.62,57,4.54,0.68,19,2.84,1.3,19,3.11,1.24,18,3.11,1.32,56,3.02,1.27
201,Parking Meter,miscellaneous,HON,HON,18,3.67,1.46,18,2.61,1.29,19,2.58,1.22,55,2.95,1.39,18,4.33,1.28,19,4.26,1.15,19,4.68,1.42,56,4.43,1.28,19,1.47,1.17,20,1.15,0.37,18,1.5,0.71,57,1.37,0.82,4,,,0,,,4,,,8,,
202,Parrot,animal/insect,LON,LYN,18,1.5,1.04,18,1.22,0.43,19,1.16,0.37,55,1.29,0.69,18,2.72,1.23,19,2.79,0.71,20,2.75,1.07,57,2.75,1.01,19,2.53,1.17,20,2.25,1.07,18,3.22,1.06,57,2.65,1.16,11,,,6,,,13,2.38,1.33,30,,
203,Peach,fruit & vegetable,HYM,LOM,18,4,1.08,18,2.89,1.28,19,3.47,1.22,55,3.45,1.26,17,2.24,0.83,19,2.21,0.79,20,2.15,0.93,56,2.2,0.84,19,5,0,20,4.9,0.31,18,4.89,0.32,57,4.93,0.26,19,1.21,0.92,20,1.2,0.52,18,1.22,0.73,57,1.21,0.73
204,Peacock,animal/insect,LON,HON,18,1.61,0.92,18,1.39,0.7,19,1.16,0.5,55,1.38,0.73,18,3.61,1.65,19,3.26,0.99,20,3.45,1.32,57,3.44,1.32,19,1.89,0.74,19,1.58,0.9,18,2.39,1.2,56,1.95,1,4,,,3,,,7,,,14,,
205,Pear,fruit & vegetable,HYM,LYM,18,2.94,1.39,18,3.06,1.26,19,3.42,1.26,55,3.15,1.3,18,2.39,0.98,19,2,0.67,20,2.25,0.79,57,2.21,0.82,19,4.89,0.46,20,4.95,0.22,18,4.89,0.32,57,4.91,0.34,19,1.21,0.92,20,1.15,0.49,18,1.22,0.55,57,1.19,0.67
206,pen,office supply,HYM,HYM,18,4.89,0.47,18,5,0,19,5,0,55,4.96,0.27,18,2.56,0.62,19,2.47,0.7,20,2.65,1.27,57,2.56,0.91,19,5,0,20,4.95,0.22,18,4.94,0.24,57,4.96,0.19,19,3.21,1.4,20,3.25,1.59,18,3.17,1.2,57,3.21,1.39
207,penguin,animal/insect,LYN,LYN,18,1.39,0.85,18,1.33,0.59,19,1.11,0.32,55,1.27,0.62,18,2.56,0.78,19,2.84,1.21,20,3,1.38,57,2.81,1.16,19,1.42,0.61,20,1.55,1.05,18,1.67,0.69,57,1.54,0.8,1,,,3,,,3,,,7,,
208,Pepper(bell),fruit & vegetable,HOM,HOM,18,3.94,1.35,18,2.94,1.26,19,3.95,1.27,55,3.62,1.35,18,2.89,0.76,19,2.84,0.83,20,3.25,1.48,57,3,1.09,19,5,0,20,4.9,0.31,18,4.67,0.97,57,4.86,0.58,19,2.21,1.27,20,2.1,1.02,18,2.06,0.87,57,2.12,1.05
209,photocopier,office supply,HON,HON,18,2.94,1.21,18,2.78,1.06,19,3.05,0.97,55,2.93,1.07,18,4.83,1.29,19,4.37,1.07,20,4.9,1.25,57,4.7,1.21,19,1.47,1.26,20,1.5,1.24,18,1.33,0.59,57,1.44,1.07,2,,,2,,,2,,,6,,
210,Piano,instrument,HON,HYN,18,3.17,1.25,18,2.44,1.38,19,2.37,1.16,55,2.65,1.29,18,2.67,1.03,19,2.47,0.84,20,2.65,1.23,57,2.6,1.03,19,1.32,1,20,1.75,1.55,18,1.22,0.55,57,1.44,1.13,2,,,3,,,1,,,6,,
211,pigeon,animal/insect,HYN,HON,18,3.83,1.34,18,3.06,1.35,19,3.16,1.5,55,3.35,1.42,18,2.39,1.04,19,2.74,0.73,20,2.95,1.28,57,2.7,1.05,19,2.37,1.16,20,2.5,1.32,18,3.28,1.23,57,2.7,1.28,9,,,8,,,13,2.46,1.39,30,,
212,Pineapple,fruit & vegetable,HYM,LOM,18,3,1.28,17,2.71,1.16,19,2.68,1.29,54,2.8,1.23,18,2.61,1.14,19,2.95,0.97,20,3.05,1.23,57,2.88,1.12,19,4.42,0.61,20,4.6,0.5,18,4.56,0.62,57,4.53,0.57,19,2.89,1.33,20,3.2,1.4,18,2.72,1.32,57,2.95,1.34
213,Pipe,recreation,LOM,LOM,18,1.78,1.31,18,1.44,0.86,19,1.63,1.16,55,1.62,1.11,18,3.44,1.2,19,4.47,1.22,20,4.5,1.36,57,4.16,1.33,19,4.95,0.23,20,4.7,0.92,18,4.83,0.38,57,4.82,0.6,19,2.37,1.12,19,2.68,1.42,18,2,1.19,56,2.36,1.26
214,Pitcher,household item,LOM,HOM,18,2.44,1.38,18,1.61,1.09,18,1.72,0.83,54,1.93,1.16,18,3.44,1.29,19,3.37,0.96,20,3.35,1.31,57,3.39,1.18,19,4.37,0.83,20,4.35,1.09,18,4.33,0.84,57,4.35,0.92,18,1.94,1.06,17,1.88,1.11,18,2.06,0.73,53,1.96,0.96
