Concept,ln.KF.,Familiarity,Length_Phonemes,Length_Syllables,Num_Feats_Tax,Num_Feats_No_Tax,Num_Disting_Feats_No_Tax,Density_No_Tax,Num_Tax,CNC,IMG,household,food,animal,List
cork,2.3,5.7,3,1,7,7,5,0,0,608,631,,,,
corkscrew,1.1,5.6,7,2,10,10,7,0,0,614,580,1,,,
cottage,3.22,6.35,5,2,13,12,4,84.34,1,593,607,,,,
cow,3.81,5.4,2,1,22,20,6,212.46,2,621,632,,,1,
crab,0.69,4.2,4,1,16,13,3,113.65,3,626,589,,,,
cranberry,0,4.05,8,3,14,12,3,164.3,2,596,649,,,,
crocodile,0,2.65,8,3,17,15,3,201.9,2,583,601,,,,
crow,1.1,5,3,1,13,11,2,360.89,2,590,578,,,1,
crown,2.94,2.95,4,1,14,14,9,100.97,0,586,602,,,,
cucumber,0,7.1,9,3,16,15,4,261.92,1,653,623,,1,,
cup,4.08,8.2,3,1,21,19,4,559.98,2,539,558,1,,,
dagger,0,3,5,2,14,12,3,189.63,2,576,581,,,,
dandelion,0,6.4,9,4,13,10,5,7.75,3,558,579,,,,
deer,2.56,5.4,3,1,20,16,2,381.41,4,631,624,,,1,
desk,4.23,8.65,4,1,16,15,8,49.07,1,583,574,1,,,
dog,4.98,8.15,3,1,18,14,7,92.54,4,610,636,,,1,
doll,3.09,7.75,3,1,12,10,4,76.95,2,588,565,,,,
door,5.85,8.95,3,1,13,13,6,180.59,0,606,599,1,,,
dove,1.61,3.7,3,1,10,9,1,456,1,588,616,,,,
drain,3.14,7.7,4,1,9,9,6,0,0,591,540,1,,,
dress,4.34,7.85,4,1,13,12,3,128.63,1,595,595,,,,
dresser,1.1,8.35,6,2,11,10,1,266.22,1,560,556,,,,
drill,3.61,6,4,1,11,10,6,0,1,516,571,1,,,
drum,3.26,5.2,4,1,13,12,5,47.92,1,602,599,,,,
duck,2.56,5.2,3,1,20,17,4,739.15,3,606,632,,,1,
eagle,2.4,3.6,3,2,17,14,3,562.12,3,616,601,,,,
eel,0.69,2.55,2,1,11,10,1,108.01,1,634,552,,,,
elephant,2.83,3.5,7,3,17,15,4,196.87,2,628,616,,,,
emerald,2.2,4.05,7,3,12,9,5,13.44,3,613,602,,,,
fawn,0,3.8,3,1,26,21,3,259.81,5,581,565,,,,
fence,3.83,8.15,4,1,11,8,4,0,3,597,611,1,,,
flea,0.69,4.35,3,1,17,15,8,35.23,2,625,606,,,,
flute,0,4.6,4,1,13,12,0,180.25,1,587,581,,,,
football,3.61,6.1,6,2,15,15,7,135.16,0,584,597,,,,
fork,1.95,8.7,3,1,14,13,5,41.56,1,592,598,1,,,
fox,2.56,4.7,4,1,17,14,2,209.7,3,605,607,,,,
garlic,1.39,7.85,5,2,21,20,14,31.75,1,636,565,,1,,
gate,3.95,7.1,3,1,14,14,8,180.59,0,573,545,,,,
goat,1.79,4.05,3,1,20,18,7,261.13,2,636,585,,,,
gorilla,0,2.65,6,3,16,14,5,54.38,2,620,634,,,,
gown,2.89,6.15,3,1,12,10,5,41.12,2,586,578,,,,
grasshopper,1.39,4.95,8,3,13,12,2,125.51,1,660,630,,,,
gun,4.78,3.5,3,1,16,14,1,849.93,2,612,613,,,,
hammer,2.2,6.3,5,2,16,15,5,158.41,1,605,618,1,,,
hare,0,3.25,3,1,18,15,2,150.23,3,615,577,,,,
harp,0,3.05,3,1,8,7,2,103.51,1,591,621,,,,
harpoon,0,2.1,5,2,11,10,3,56.53,1,592,531,,,,
harpsichord,0,2.4,10,3,6,5,0,48.28,1,623,537,,,,
hatchet,1.39,2.6,5,2,8,6,1,58.54,2,607,527,,,,
hawk,2.64,3.5,3,1,13,11,2,371.26,2,623,591,,,,
helmet,1.1,6.2,6,2,12,11,5,49.41,1,602,620,,,,
hoe,0,3.7,2,1,15,14,5,397.84,1,537,525,,,,
hook,1.95,6.65,3,1,9,9,2,128.5,0,525,541,,,,
hose,2.4,5.75,3,1,16,15,9,8.76,1,596,572,1,,,
house,6.51,8.45,3,1,16,15,2,333.57,1,608,606,,,,
hut,2.94,3.25,3,1,6,5,2,0,1,589,560,,,,
inn,2.3,5.55,2,1,10,8,3,69.44,2,592,578,,,,
jacket,3.66,8.6,5,2,15,14,3,337.43,1,635,611,,,,
jar,2.94,6.95,3,1,12,11,5,217.79,1,595,571,,,,
jeep,2.77,6.9,3,1,14,12,6,69.8,2,622,659,,,,
jet,3.5,4.5,3,1,15,14,2,422.61,1,580,585,,,,
