"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","Onset","Duration","MN","SE"
"1709","17: vertrouwde","24.1",2,1,2,2,1,1,2,1,2,1,2,2,2,2,1,1,1,2,1,1,2,1,1,2,2,2,1,"8.82394392","0.489321404",1.51851851851852,0.0979907892986885
"1710","18: geluiden.","24.1",2,1,2,2,1,1,2,1,2,1,2,2,2,2,1,1,1,2,1,1,2,1,1,2,1,2,1,"9.313265325","0.533420265",1.48148148148148,0.0979907892986885
"1711","19: Het","24.1",2,1,2,1,1,1,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,1,"10.79030439","0.147074723",1.59259259259259,0.0963620200871098
"1712","20: sissen","24.1",2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,1,"10.93737912","0.356711082",1.74074074074074,0.0859436075726402
"1713","21: van","24.1",2,1,2,1,1,1,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,1,2,2,1,2,1,"11.2940902","0.160245594",1.59259259259259,0.0963620200871098
"1714","22: het","24.1",2,1,2,1,1,1,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,1,2,2,1,2,1,"11.45433579","0.107562111",1.59259259259259,0.0963620200871098
"1715","23: water","24.1",2,1,2,1,1,1,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,1,2,2,1,2,1,"11.5618979","0.338052349",1.59259259259259,0.0963620200871098
"1716","24: in","24.1",2,1,1,1,1,1,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,1,1,2,1,2,1,"11.89995025","0.074634934",1.51851851851852,0.0979907892986885
"1717","25: de","24.1",2,1,1,1,1,1,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,1,1,2,1,2,1,"11.97458519","0.080122797",1.51851851851852,0.0979907892986885
"1718","26: toiletten.","24.1",2,1,1,1,1,1,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,1,1,2,1,2,1,"12.09970846","0.478443545",1.51851851851852,0.0979907892986885
"1719","27: De","24.1",2,1,2,1,1,1,2,1,2,1,1,2,2,2,2,1,1,2,1,2,2,1,1,2,1,2,1,"12.94803396","0.057073773",1.48148148148148,0.0979907892986885
"1720","28: kinderkreten","24.1",2,1,2,1,2,1,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,2,2,1,2,1,"13.06006205","0.664031399",1.62962962962963,0.0947052429549553
"1721","29: in","24.1",1,1,1,1,1,1,2,1,2,1,1,2,2,2,2,1,1,1,1,2,2,1,1,2,1,2,1,"13.72409345","0.05158591",1.37037037037037,0.0947052429549553
"1722","30: de","24.1",1,1,1,1,1,1,2,1,2,1,1,2,2,2,2,1,1,1,1,2,2,1,1,2,1,2,1,"13.77567936","0.08561066",1.37037037037037,0.0947052429549553
"1723","31: flat","24.1",1,1,1,1,1,1,2,1,2,1,1,2,2,2,2,1,1,1,1,2,2,1,1,2,1,2,1,"13.86129002","0.31719847",1.37037037037037,0.0947052429549553
"1724","32: boven","24.1",1,1,2,1,1,1,2,1,2,1,1,2,2,2,2,1,1,1,1,2,2,1,1,2,1,2,1,"14.17848849","0.384150396",1.40740740740741,0.0963620200871098
"1726","34: hoofd.","24.1",1,1,2,1,1,1,2,1,2,1,1,2,2,2,2,1,1,1,1,2,2,1,1,2,1,2,1,"14.73421852","0.431346016",1.40740740740741,0.0963620200871098
"1727","35: De","24.1",1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,1,"15.68506392","0.037317467",1.2962962962963,0.0895511888632576
"1728","36: buitendeur","24.1",1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,1,"15.72238139","0.560859579",1.2962962962963,0.0895511888632576
"1729","37: die","24.1",1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,1,"16.28324097","0.145977151",1.2962962962963,0.0895511888632576
