"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","Onset","Duration"
"64","64: en","3.1","1","1","2","1","1","1","2","1","2","1","2","1","2","2","2","1","27.43594833","0.143645458"
"65","65: wijsvinger","3.1","1","1","2","1","1","1","2","1","2","1","2","1","2","2","2","1","27.57959379","0.618146437"
"66","66: en","3.1","1","1","2","1","1","1","2","1","1","1","2","1","1","1","2","2","28.7042873","0.104790539"
"68","68: ze","3.1","1","1","2","1","1","1","2","1","2","1","2","2","1","1","2","2","29.0504493","0.140113192"
"69","69: behoedzaam","3.1","2","1","2","1","1","1","2","1","2","2","2","2","2","1","2","2","29.1905625","0.567517301"
"70","70: op","3.1","1","1","2","1","1","1","2","1","2","1","2","2","1","1","2","2","29.7580798","0.163661628"
"71","71: elkaar.","3.1","1","1","2","1","1","1","2","1","2","1","2","2","1","1","2","2","29.92174143","0.412967883"
"72","72: Zijn","3.1","1","1","2","1","1","1","2","2","1","1","2","2","1","1","2","1","mismatch","mismatch"
"73","73: handen","3.1","1","1","2","1","1","1","2","2","1","1","2","2","1","1","2","1","31.84160415","0.255500527"
"74","74: waren","3.1","1","1","2","1","1","1","2","2","1","1","2","2","1","1","2","2","32.09710468","0.26374248"
"75","75: paarsachtig","3.1","2","1","2","1","1","1","2","2","2","2","2","2","2","1","2","2","32.44326669","0.620501281"
"76","76: rood","3.1","2","1","2","1","1","1","2","2","2","2","2","2","2","1","2","2","33.06376797","0.447556783"
"77","77: en","3.1","1","1","2","2","1","1","2","2","1","2","2","2","1","1","2","2","34.01507354","0.090661477"
"78","78: er","3.1","1","1","2","2","1","1","2","2","1","2","2","2","1","1","2","2","34.10573502","0.068290464"
"81","81: aan.","3.1","1","1","2","2","1","1","2","2","1","2","2","2","1","1","2","2","34.87812371","0.288468337"
"82","82: Iedere","3.1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","mismatch","mismatch"
"83","83: keer","3.1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","36.48216462","0.256677949"
"84","84: vroeg","3.1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","36.73884256","0.222532717"
"85","85: hij","3.1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","36.96137528","0.134226084"
"86","86: me","3.1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","mismatch","mismatch"
"87","87: of","3.1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37.40290845","0.116564757"
"88","88: ik","3.1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","mismatch","mismatch"
"89","89: met","3.1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37.61291589","0.226064983"
"90","90: Tonia","3.1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37.83898088","0.350871692"
"91","91: wilde","3.1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","38.18985257","0.2107585"
"92","92: spelen.","3.1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","38.40061107","0.495080245"
"96","96: dat","3.1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","40.44086091","0.159607592"
"97","97: ik","3.1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","mismatch","mismatch"
"99","99: kon","3.1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","40.87253103","0.248435997"
"100","100: omdat","3.1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","41.12096703","0.231952092"
"101","101: ze","3.1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","41.35291912","0.080064681"
"103","103: op","3.1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","41.73911347","0.084313398"
"106","106: zaten","3.1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","42.22139543","0.303774821"
"107","107: te","3.1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","42.52517025","0.049451715"
"108","108: wachten.","3.1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","42.57462197","0.396483753"
"189","1: Maar","5.1","1",NA,"1","1","1","1","1","1","2","1","1","1","1","1","1","1","44.2788627","0.310395684"
"190","2: op","5.1","1",NA,"1","1","1","1","1","1","2","1","1","1","1","1","1","1","44.58925839","0.048717961"
"191","3: een","5.1","1",NA,"1","1","1","1","1","1","2","1","1","1","1","1","1","1","44.63797635","0.090661477"
"192","4: dag","5.1","1",NA,"1","1","1","1","1","1","2","1","1","1","1","1","1","1","44.72863782","0.259032793"
