,word,qnLabel,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,Onset,Duration,MN,SE
1806,114: geluid,24.1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,46.06045684,0.304027599,1.148148148,0.069669625
1807,115: vandaan.,24.1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,46.36448444,0.482931927,1.111111111,0.061633355
1808,116: Daar,24.1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,47.26449394,0.136816079,1.148148148,0.069669625
1809,117: moet,24.1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,47.40131002,0.145977151,1.148148148,0.069669625
1810,118: ik,24.1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,47.54728717,0.103171821,1.148148148,0.069669625
1811,119: naartoe.,24.1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,47.65045899,0.394028549,1.148148148,0.069669625
1812,120: Vandaag,24.1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1,2,1,49.05615584,0.335857204,1.333333333,0.092450033
1813,121: laat,24.1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1,2,1,49.39201304,0.177806755,1.333333333,0.092450033
1814,122: ik,24.1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1,2,1,49.5698198,0.084513087,1.333333333,0.092450033
1815,123: me,24.1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1,2,1,49.65433289,0.09439124,1.333333333,0.092450033
1816,124: niet,24.1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1,2,1,49.74872413,0.209636359,1.333333333,0.092450033
1817,125: meer,24.1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1,2,1,49.95836049,0.1800019,1.333333333,0.092450033
1818,126: door,24.1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,2,2,2,1,1,2,2,1,2,2,1,50.13836239,0.093293668,1.444444444,0.097450891
1819,127: mijn,24.1,1,1,2,1,1,1,2,1,2,1,2,2,1,1,2,1,2,2,2,1,1,2,2,1,2,2,1,50.23165605,0.118537837,1.481481481,0.097990789
1820,128: angst,24.1,2,1,2,1,1,1,2,1,2,2,2,2,1,1,2,1,2,2,2,1,1,2,2,2,2,2,1,50.35019389,0.255734407,1.592592593,0.09636202
1821,129: verlammen.,24.1,2,1,2,1,2,1,2,1,2,2,2,2,1,1,2,1,2,2,2,1,1,2,2,2,2,2,1,50.6059283,0.450548049,1.62962963,0.094705243
1822,130: Al,24.1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,52.57978702,0.172318892,1.074074074,0.051361129
1823,131: enkele,24.1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,52.75210591,0.342442639,1.074074074,0.051361129
1824,132: dagen,24.1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,53.09454855,0.397321267,1.074074074,0.051361129
1825,133: krast,24.1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,53.49186982,0.40719942,1.111111111,0.061633355
1826,134: de,24.1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,53.89906924,0.04719562,1.074074074,0.051361129
1827,135: man,24.1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,53.94626486,0.250246544,1.074074074,0.051361129
1828,136: van,24.1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,54.1965114,0.142488475,1.074074074,0.051361129
