"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","Onset","Duration","MN"
"49","49: de","3.1",1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,"22.91909815","0.084513087",1.14814814814815
"50","50: zalm","3.1",1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,"23.00361124","0.241465963",1.14814814814815
"51","51: met","3.1",1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,"23.2450772","0.166831029",1.22222222222222
"52","52: een","3.1",1,1,2,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,"23.41190823","0.099879103",1.2962962962963
"53","53: smal","3.1",2,1,2,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,2,1,1,2,1,2,1,2,1,"23.51178733","0.49281008",1.48148148148148
"54","54: in","3.1",2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,2,2,2,1,"24.35991732","0.09878153",1.66666666666667
"55","55: het","3.1",2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,2,2,2,1,"24.45869885","0.116342691",1.66666666666667
"56","56: midden","3.1",2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,1,2,2,2,1,"24.57504154","0.279881003",1.7037037037037
"57","57: uitgesleten","3.1",2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,1,2,2,2,1,"24.85492255","0.729885753",1.74074074074074
"58","58: mes","3.1",1,2,2,1,1,2,2,2,2,2,2,1,2,1,2,1,1,1,2,1,2,1,1,2,1,2,1,"25.5848083","0.413784855",1.51851851851852
"59","59: nam","3.1",1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,"26.68501024","0.217319367",1.18518518518519
"60","60: de","3.1",1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,"26.9023296","0.060366491",1.18518518518519
"61","61: plakjes","3.1",1,1,2,1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,"27.02525773","0.40280913",1.22222222222222
"62","62: tussen","3.1",1,1,2,1,1,1,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,"27.45001831","0.27439314",1.33333333333333
"63","63: duim","3.1",1,1,2,1,1,1,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,"27.72441145","0.276588285",1.33333333333333
"64","64: en","3.1",1,1,2,1,1,1,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,"28.00099974","0.107562111",1.33333333333333
"65","65: wijsvinger","3.1",1,1,2,1,1,1,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,"28.10856185","0.634755481",1.33333333333333
"66","66: en","3.1",1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,"29.13477024","0.087805805",1.22222222222222
