"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","Onset","Duration","MN"
"73","73: handen","3.1",6,5,2,2,4,2,1,1,2,4,3,3,5,2,1,1,2,3,4,5,2,5,1,2,2,5,3,"31.84160415","0.255500527",2.88888888888889
"74","74: waren","3.1",6,5,2,2,4,2,1,1,2,4,3,3,5,2,1,1,2,3,4,5,2,5,1,2,2,5,3,"32.09710468","0.26374248",2.88888888888889
"75","75: paarsachtig","3.1",6,5,2,2,4,2,1,1,2,4,3,3,5,5,2,1,2,3,4,5,6,5,3,3,2,5,5,"32.44326669","0.620501281",3.37037037037037
"76","76: rood","3.1",6,5,2,2,4,2,1,1,2,4,3,3,5,5,2,1,2,3,4,5,6,5,3,3,2,5,5,"33.06376797","0.447556783",3.37037037037037
"77","77: en","3.1",6,2,2,2,4,2,1,1,2,4,3,3,5,5,1,1,5,3,4,5,6,5,1,5,2,5,5,"34.01507354","0.090661477",3.33333333333333
"78","78: er","3.1",6,2,2,2,4,2,1,1,2,4,3,3,5,5,1,1,5,3,4,5,6,5,1,5,2,5,5,"34.10573502","0.068290464",3.33333333333333
"81","81: aan.","3.1",6,5,2,2,4,2,1,1,2,4,3,3,5,5,3,1,5,3,4,5,6,5,1,5,2,5,5,"34.87812371","0.288468337",3.51851851851852
"82","82: Iedere","3.1",2,7,1,4,4,2,1,1,1,3,3,3,1,2,1,3,6,5,5,5,2,2,1,2,2,5,3,"mismatch","mismatch",2.85185185185185
"83","83: keer","3.1",2,7,1,4,4,2,1,1,1,3,3,3,1,2,1,3,6,5,5,5,2,2,1,2,2,5,3,"36.48216462","0.256677949",2.85185185185185
"84","84: vroeg","3.1",2,7,1,4,4,2,1,1,1,3,3,3,1,2,1,3,6,5,5,5,2,2,1,2,2,5,3,"36.73884256","0.222532717",2.85185185185185
"85","85: hij","3.1",2,7,1,4,4,2,1,1,1,3,3,3,1,2,1,3,6,5,5,5,2,2,1,2,2,5,3,"36.96137528","0.134226084",2.85185185185185
"86","86: me","3.1",2,4,1,4,4,2,1,1,1,3,3,3,1,2,1,3,6,5,5,5,2,2,1,2,2,5,3,"mismatch","mismatch",2.74074074074074
"87","87: of","3.1",2,4,1,4,4,2,1,1,1,3,3,3,1,2,1,3,6,5,5,5,2,2,1,2,2,5,3,"37.40290845","0.116564757",2.74074074074074
"88","88: ik","3.1",2,4,1,4,4,2,1,1,1,3,3,3,1,2,1,4,6,5,5,5,2,2,1,2,2,5,3,"mismatch","mismatch",2.77777777777778
"89","89: met","3.1",2,4,1,4,4,2,1,1,1,3,3,3,1,2,1,2,6,5,5,5,2,2,1,2,2,5,3,"37.61291589","0.226064983",2.7037037037037
"90","90: Tonia","3.1",2,7,1,4,4,2,1,1,1,3,3,3,1,2,1,3,6,5,5,5,5,2,3,2,2,5,3,"37.83898088","0.350871692",3.03703703703704
"91","91: wilde","3.1",2,4,1,4,4,2,1,1,1,3,3,3,1,2,1,3,6,5,5,5,5,2,3,2,2,5,3,"38.18985257","0.2107585",2.92592592592593
"92","92: spelen.","3.1",2,4,1,4,4,2,1,1,1,3,3,3,1,2,1,4,6,5,5,5,5,2,3,2,2,5,3,"38.40061107","0.495080245",2.96296296296296
"96","96: dat","3.1",2,4,1,2,4,2,1,1,3,3,2,3,2,3,1,2,5,4,5,5,4,2,1,2,2,6,2,"40.44086091","0.159607592",2.74074074074074
"97","97: ik","3.1",2,7,1,2,4,2,1,1,3,3,2,3,2,3,1,2,5,4,5,5,4,2,1,2,2,6,2,"mismatch","mismatch",2.85185185185185
"99","99: kon","3.1",2,7,1,2,4,2,1,1,3,3,2,3,2,3,1,2,5,4,5,5,4,2,2,2,2,6,2,"40.87253103","0.248435997",2.88888888888889
"100","100: omdat","3.1",2,4,1,2,4,2,1,1,3,3,2,3,2,3,1,3,3,4,5,5,3,2,1,2,2,6,2,"41.12096703","0.231952092",2.66666666666667
"101","101: ze","3.1",2,4,1,2,4,2,1,1,3,3,2,3,2,3,1,3,3,4,5,5,3,2,1,2,2,6,2,"41.35291912","0.080064681",2.66666666666667
"103","103: op","3.1",2,2,1,2,4,2,1,1,3,3,2,3,2,3,1,2,3,4,5,5,3,2,1,2,2,6,2,"41.73911347","0.084313398",2.55555555555556
"106","106: zaten","3.1",2,2,1,2,4,2,1,1,3,3,2,3,2,3,1,2,3,4,5,5,3,2,1,2,2,6,2,"42.22139543","0.303774821",2.55555555555556
