"","X","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","Onset","Duration","MN","SE","marker_event","onset_event","duration_event","MN_event","SE_event"
"55",57,"57: uitgesleten",3.1,1,7,1,3,2,2,1,1,2,3,2,3,3,4,1,3,4,2,4,4,5,4,1,2,2,4,4,24.15500332,0.932654334,2.777777778,0.284115729,,,,,
"56",58,"58: mes",3.1,1,7,1,3,2,2,1,1,2,3,2,3,3,4,1,2,4,2,4,4,5,4,1,2,2,4,4,25.08765765,0.350410947,2.740740741,0.285412645,1,22.00049211,3.437576489,2.62654321016667,
"57",59,"59: nam",3.1,4,3,1,2,2,2,1,1,2,3,2,3,3,3,2,1,2,2,4,4,3,4,1,2,2,4,4,26.20189087,0.161306785,2.481481481,0.202339384,,,,,
"58",60,"60: de",3.1,4,3,1,2,2,2,1,1,2,3,2,3,3,3,2,2,2,2,4,4,3,4,1,2,2,4,4,26.36319766,0.071822729,2.518518519,0.195172291,,,,,
"59",61,"61: plakjes",3.1,4,3,1,2,2,2,1,1,2,3,2,3,3,3,2,3,2,2,4,4,3,4,1,2,2,4,4,26.49624632,0.354403957,2.555555556,0.194901782,,,,,
"60",62,"62: tussen",3.1,4,3,1,2,2,2,1,1,2,3,2,3,3,3,2,2,2,2,4,4,3,4,1,2,2,4,4,26.85065028,0.314371617,2.518518519,0.195172291,,,,,
"61",63,"63: duim",3.1,4,3,1,2,2,2,1,1,2,3,2,3,3,3,2,3,2,2,4,4,3,4,1,2,2,4,4,27.18280265,0.253145684,2.555555556,0.194901782,,,,,
"62",64,"64: en",3.1,4,3,1,2,2,2,1,1,2,3,2,3,3,3,2,3,2,2,4,4,3,4,1,2,2,4,4,27.43594833,0.143645458,2.555555556,0.194901782,,,,,
"63",65,"65: wijsvinger",3.1,4,3,1,2,2,2,1,1,2,3,2,3,3,3,2,3,2,2,4,4,3,4,1,2,2,4,4,27.57959379,0.618146437,2.555555556,0.194901782,,,,,
"64",66,"66: en",3.1,4,3,1,3,2,2,1,1,2,3,2,3,3,3,1,2,2,2,4,4,3,4,1,2,2,4,5,28.7042873,0.104790539,2.555555556,0.215716743,,,,,
"65",67,"67: legde",3.1,4,3,1,3,2,2,1,1,2,3,2,3,3,3,2,3,2,3,4,4,3,4,1,2,2,4,5,28.80907784,0.241371466,2.666666667,0.206724558,,,,,
"66",68,"68: ze",3.1,4,3,1,3,2,2,1,1,2,3,2,3,3,3,1,3,2,3,4,4,3,4,1,2,2,4,5,29.0504493,0.140113192,2.62962963,0.214490373,,,,,
"67",69,"69: behoedzaam",3.1,4,3,1,3,2,2,1,1,2,3,2,3,3,3,1,3,2,3,4,4,3,4,2,2,2,4,5,29.1905625,0.567517301,2.666666667,0.206724558,,,,,
"68",70,"70: op",3.1,4,3,1,3,2,2,1,1,2,3,2,3,3,3,2,3,2,3,4,4,3,4,1,2,2,4,5,29.7580798,0.163661628,2.666666667,0.206724558,,,,,
"69",71,"71: elkaar.",3.1,4,3,1,3,2,2,1,1,2,3,2,3,3,3,2,3,2,3,4,4,3,4,1,2,2,4,5,29.92174143,0.412967883,2.666666667,0.206724558,1,26.20189087,3.547264676,2.58404558438462,
"70",72,"72: Zijn",3.1,6,5,2,2,4,2,1,1,2,4,3,3,5,2,1,1,2,3,4,5,2,5,1,2,2,5,3,31.68265221,0.158951941,2.888888889,0.293972368,,,,,
"71",73,"73: handen",3.1,6,5,2,2,4,2,1,1,2,4,3,3,5,2,1,1,2,3,4,5,2,5,1,2,2,5,3,31.84160415,0.255500527,2.888888889,0.293972368,,,,,
"72",74,"74: waren",3.1,6,5,2,2,4,2,1,1,2,4,3,3,5,2,1,1,2,3,4,5,2,5,1,2,2,5,3,32.09710468,0.26374248,2.888888889,0.293972368,,,,,
"73",75,"75: paarsachtig",3.1,6,5,2,2,4,2,1,1,2,4,3,3,5,5,2,1,2,3,4,5,6,5,3,3,2,5,5,32.44326669,0.620501281,3.37037037,0.302638672,,,,,
"74",76,"76: rood",3.1,6,5,2,2,4,2,1,1,2,4,3,3,5,5,2,1,2,3,4,5,6,5,3,3,2,5,5,33.06376797,0.447556783,3.37037037,0.302638672,,,,,
"75",77,"77: en",3.1,6,2,2,2,4,2,1,1,2,4,3,3,5,5,1,1,5,3,4,5,6,5,1,5,2,5,5,34.01507354,0.090661477,3.333333333,0.329032078,,,,,
"76",78,"78: er",3.1,6,2,2,2,4,2,1,1,2,4,3,3,5,5,1,1,5,3,4,5,6,5,1,5,2,5,5,34.10573502,0.068290464,3.333333333,0.329032078,,,,,
"77",79,"79: kleefden",3.1,6,7,2,2,4,2,1,1,2,4,3,3,5,5,3,1,5,3,4,5,6,5,2,5,2,5,5,34.23054173,0.306129664,3.62962963,0.329672842,,,,,
"78",80,"80: schubben",3.1,6,5,2,2,4,2,1,1,2,4,3,3,5,5,3,1,5,3,4,5,6,5,2,5,2,5,5,34.53667139,0.341452318,3.555555556,0.308166776,,,,,
"79",81,"81: aan.",3.1,6,5,2,2,4,2,1,1,2,4,3,3,5,5,3,1,5,3,4,5,6,5,1,5,2,5,5,34.87812371,0.288468337,3.518518519,0.317443359,1,31.68265221,2.841255272,3.2777777778,
