"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","Onset","Duration","MN"
"1747","55: op","24.1",3,4,1,4,5,2,1,2,1,2,5,5,4,1,1,4,3,3,2,5,2,5,1,2,3,6,4,"24.70922914","0.091098523",3
"1748","56: de","24.1",3,4,1,4,5,2,1,2,1,2,5,5,4,1,1,4,3,3,2,5,2,5,1,2,3,6,4,"24.80032767","0.048293193",3
"1749","57: grond","24.1",3,4,1,4,5,2,1,2,1,2,5,5,4,1,1,4,3,3,2,5,2,5,1,2,3,6,4,"24.84862086","0.353494281",3
"1750","58: en","24.1",3,4,1,4,5,2,1,2,1,2,5,5,4,2,1,4,3,3,2,5,2,5,1,2,3,6,3,"25.20211514","0.13280628",3
"1751","59: rolt","24.1",3,4,1,4,5,2,1,2,1,2,5,5,4,2,1,4,3,4,2,5,2,5,1,2,3,6,5,"25.33492142","0.338052349",3.11111111111111
"1752","60: met","24.1",3,6,1,4,5,2,1,2,1,2,5,5,4,3,1,4,3,4,2,5,2,5,1,2,3,6,3,"25.67297377","0.130611135",3.14814814814815
"1753","61: een","24.1",3,6,1,4,5,2,1,2,1,2,5,5,4,3,1,4,3,4,2,5,2,5,1,2,3,6,3,"25.8035849","0.104269393",3.14814814814815
"1754","62: klap","24.1",3,6,2,4,5,2,1,2,1,2,5,5,4,3,1,4,3,4,2,5,2,5,1,2,3,6,5,"25.9078543","0.375369816",3.25925925925926
"1755","63: tegen","24.1",3,6,1,4,5,2,1,2,1,2,5,5,4,2,1,4,3,4,2,5,2,5,1,2,3,6,4,"26.42920126","0.206788849",3.14814814814815
"1756","64: de","24.1",3,6,1,4,5,2,1,2,1,2,5,5,4,2,1,4,3,4,2,5,2,5,1,2,3,6,3,"26.63599011","0.066951926",3.11111111111111
"1757","65: metalen","24.1",3,6,1,4,5,2,1,2,1,2,5,5,4,2,1,4,3,4,2,5,2,5,1,2,3,6,5,"26.70294204","0.453297468",3.18518518518519
"1758","66: vuilnisbak.","24.1",3,6,1,4,5,2,1,2,1,2,5,5,4,2,1,4,3,4,2,5,2,5,1,2,3,6,5,"27.15623951","0.646470238",3.18518518518519
"1759","67: Mijn","24.1",3,3,1,5,4,6,1,2,3,5,6,6,3,4,4,5,3,5,2,5,4,5,1,3,3,6,3,"28.93172044","0.124025699",3.74074074074074
"1760","68: armbeweging","24.1",3,3,1,5,4,6,1,2,3,5,6,6,3,4,4,5,3,5,2,5,4,5,1,3,3,6,3,"29.05574614","0.666226544",3.74074074074074
"1761","69: bevriest.","24.1",3,7,4,5,4,6,1,2,3,5,6,6,3,4,4,5,3,5,2,5,4,5,1,3,3,6,5,"29.72197269","0.527932402",4.07407407407407
"1762","70: De","24.1",3,3,4,6,4,6,1,2,3,3,6,6,4,4,1,4,6,6,2,4,3,5,1,3,4,6,3,"31.31937522","0.026341741",3.81481481481481
"1763","71: man","24.1",3,3,4,6,4,6,1,2,3,3,6,6,4,4,1,4,6,6,2,4,3,5,1,3,4,6,3,"31.34571696","0.197563061",3.81481481481481
"1764","72: van","24.1",3,3,4,6,4,6,1,2,3,3,6,6,4,4,1,4,6,6,2,4,3,5,1,3,4,6,3,"31.54328002","0.150367441",3.81481481481481
"1765","73: de","24.1",3,3,4,6,4,6,1,2,3,3,6,6,4,4,1,4,6,6,2,4,3,5,1,3,4,6,3,"31.69364747","0.034024749",3.81481481481481
"1766","74: flat","24.1",3,3,4,6,4,6,1,2,3,3,6,6,4,4,1,4,6,6,2,4,3,5,1,3,4,6,3,"31.72767222","0.264514987",3.81481481481481
"1767","75: hiernaast","24.1",3,3,4,6,4,6,1,2,3,3,6,6,4,4,1,4,6,6,2,4,3,5,1,3,4,6,3,"31.9921872","0.453297468",3.81481481481481
"1768","76: moet","24.1",3,3,4,6,4,6,1,2,3,3,6,6,4,4,1,4,6,6,2,4,3,5,1,3,4,6,3,"32.44548467","0.209636359",3.81481481481481
